Character Name	Character	Entity	Hex Entity	Dec	Hex	Bin
BRAILLE PATTERN DOTS-2678	⣢	&#10466;	&#x28E2	71	47	01000111
BRAILLE PATTERN DOTS-268	⢢	&#10402;	&#x28A2	69	45	01000101
BRAILLE PATTERN DOTS-27	⡂	&#10306;	&#x2842	66	42	01000010
BRAILLE PATTERN DOTS-278	⣂	&#10434;	&#x28C2	67	43	01000011
BRAILLE PATTERN DOTS-28	⢂	&#10370;	&#x2882	65	41	01000001
BRAILLE PATTERN DOTS-3	⠄	&#10244;	&#x2804	32	20	00100000
BRAILLE PATTERN DOTS-34	⠌	&#10252;	&#x280C	48	30	00110000
BRAILLE PATTERN DOTS-345	⠜	&#10268;	&#x281C	56	38	00111000
BRAILLE PATTERN DOTS-3456	⠼	&#10300;	&#x283C	60	3C	00111100
BRAILLE PATTERN DOTS-34567	⡼	&#10364;	&#x287C	62	3E	00111110
BRAILLE PATTERN DOTS-345678	⣼	&#10492;	&#x28FC	63	3F	00111111
BRAILLE PATTERN DOTS-34568	⢼	&#10428;	&#x28BC	61	3D	00111101
BRAILLE PATTERN DOTS-3457	⡜	&#10332;	&#x285C	58	3A	00111010
BRAILLE PATTERN DOTS-34578	⣜	&#10460;	&#x28DC	59	3B	00111011
BRAILLE PATTERN DOTS-3458	⢜	&#10396;	&#x289C	57	39	00111001
BRAILLE PATTERN DOTS-346	⠬	&#10284;	&#x282C	52	34	00110100
BRAILLE PATTERN DOTS-3467	⡬	&#10348;	&#x286C	54	36	00110110
BRAILLE PATTERN DOTS-34678	⣬	&#10476;	&#x28EC	55	37	00110111
BRAILLE PATTERN DOTS-3468	⢬	&#10412;	&#x28AC	53	35	00110101
BRAILLE PATTERN DOTS-347	⡌	&#10316;	&#x284C	50	32	00110010
BRAILLE PATTERN DOTS-3478	⣌	&#10444;	&#x28CC	51	33	00110011
BRAILLE PATTERN DOTS-348	⢌	&#10380;	&#x288C	49	31	00110001
BRAILLE PATTERN DOTS-35	⠔	&#10260;	&#x2814	40	28	00101000
BRAILLE PATTERN DOTS-356	⠴	&#10292;	&#x2834	44	2C	00101100
BRAILLE PATTERN DOTS-3567	⡴	&#10356;	&#x2874	46	2E	00101110
BRAILLE PATTERN DOTS-35678	⣴	&#10484;	&#x28F4	47	2F	00101111
BRAILLE PATTERN DOTS-3568	⢴	&#10420;	&#x28B4	45	2D	00101101
BRAILLE PATTERN DOTS-357	⡔	&#10324;	&#x2854	42	2A	00101010
BRAILLE PATTERN DOTS-3578	⣔	&#10452;	&#x28D4	43	2B	00101011
BRAILLE PATTERN DOTS-358	⢔	&#10388;	&#x2894	41	29	00101001
BRAILLE PATTERN DOTS-36	⠤	&#10276;	&#x2824	36	24	00100100
BRAILLE PATTERN DOTS-367	⡤	&#10340;	&#x2864	38	26	00100110
BRAILLE PATTERN DOTS-3678	⣤	&#10468;	&#x28E4	39	27	00100111
BRAILLE PATTERN DOTS-368	⢤	&#10404;	&#x28A4	37	25	00100101
BRAILLE PATTERN DOTS-37	⡄	&#10308;	&#x2844	34	22	00100010
BRAILLE PATTERN DOTS-378	⣄	&#10436;	&#x28C4	35	23	00100011
BRAILLE PATTERN DOTS-38	⢄	&#10372;	&#x2884	33	21	00100001
BRAILLE PATTERN DOTS-4	⠈	&#10248;	&#x2808	16	10	00010000
BRAILLE PATTERN DOTS-45	⠘	&#10264;	&#x2818	24	18	00011000
BRAILLE PATTERN DOTS-456	⠸	&#10296;	&#x2838	28	1C	00011100
BRAILLE PATTERN DOTS-4567	⡸	&#10360;	&#x2878	30	1E	00011110
BRAILLE PATTERN DOTS-45678	⣸	&#10488;	&#x28F8	31	1F	00011111
BRAILLE PATTERN DOTS-4568	⢸	&#10424;	&#x28B8	29	1D	00011101
BRAILLE PATTERN DOTS-457	⡘	&#10328;	&#x2858	26	1A	00011010
BRAILLE PATTERN DOTS-4578	⣘	&#10456;	&#x28D8	27	1B	00011011
BRAILLE PATTERN DOTS-458	⢘	&#10392;	&#x2898	25	19	00011001
BRAILLE PATTERN DOTS-46	⠨	&#10280;	&#x2828	20	14	00010100
BRAILLE PATTERN DOTS-467	⡨	&#10344;	&#x2868	22	16	00010110
BRAILLE PATTERN DOTS-4678	⣨	&#10472;	&#x28E8	23	17	00010111
BRAILLE PATTERN DOTS-468	⢨	&#10408;	&#x28A8	21	15	00010101
BRAILLE PATTERN DOTS-47	⡈	&#10312;	&#x2848	18	12	00010010
BRAILLE PATTERN DOTS-478	⣈	&#10440;	&#x28C8	19	13	00010011
BRAILLE PATTERN DOTS-48	⢈	&#10376;	&#x2888	17	11	00010001
BRAILLE PATTERN DOTS-5	⠐	&#10256;	&#x2810	8	08	00001000
BRAILLE PATTERN DOTS-56	⠰	&#10288;	&#x2830	12	0C	00001100
BRAILLE PATTERN DOTS-567	⡰	&#10352;	&#x2870	14	0E	00001110
BRAILLE PATTERN DOTS-5678	⣰	&#10480;	&#x28F0	15	0F	00001111
BRAILLE PATTERN DOTS-568	⢰	&#10416;	&#x28B0	13	0D	00001101
BRAILLE PATTERN DOTS-57	⡐	&#10320;	&#x2850	10	0A	00001010
BRAILLE PATTERN DOTS-578	⣐	&#10448;	&#x28D0	11	0B	00001011
BRAILLE PATTERN DOTS-58	⢐	&#10384;	&#x2890	9	09	00001001
BRAILLE PATTERN DOTS-6	⠠	&#10272;	&#x2820	4	04	00000100
BRAILLE PATTERN DOTS-67	⡠	&#10336;	&#x2860	6	06	00000110
BRAILLE PATTERN DOTS-678	⣠	&#10464;	&#x28E0	7	07	00000111
BRAILLE PATTERN DOTS-68	⢠	&#10400;	&#x28A0	5	05	00000101
BRAILLE PATTERN DOTS-7	⡀	&#10304;	&#x2840	2	02	00000010
BRAILLE PATTERN DOTS-78	⣀	&#10432;	&#x28C0	3	03	00000011
BRAILLE PATTERN DOTS-8	⢀	&#10368;	&#x2880	1	01	00000001
